rsi,bb_up,bb_down,ma100,ma50,VA,VN
1584685900.88794351,0.98187503,0.97979497,0.9833961,0.98242839,1,2
1584686189.59563708,0.98186181,0.97984819,0.98334113,0.98235747,2,2
1584686478.88422489,0.98189701,0.97970399,0.983272,0.98225914,2,2
1584686775.72629428,0.98186443,0.97953657,0.98319849,0.98215329,2,2
1584687070.98756647,0.98173545,0.97936155,0.98311654,0.98203198,2,1
1584687378.86754251,0.98156102,0.97929598,0.98304334,0.98192955,1,2
1584687669.81325626,0.98167971,0.97889829,0.982951,0.98179035,2,2
1584687968.90384197,0.98176509,0.97854091,0.98285791,0.98165152,2,1
1584688272.18794489,0.98174743,0.97829357,0.98276964,0.98152401,1,1
1584688574.90734696,0.98176384,0.97809116,0.98268548,0.9814062,1,1
1584688898.49409103,0.9817577,0.9780873,0.98263191,0.98135027,1,1
1584689200.33197999,0.98172252,0.97808548,0.98258257,0.98130281,1,2
1584689491.21461415,0.98166929,0.97804371,0.98252073,0.98123054,2,2
1584689782.46083474,0.98160341,0.97790359,0.98244329,0.98112778,2,1
1584690096.00486255,0.98149836,0.97791064,0.98239016,0.98107414,1,2
1584690393.44965911,0.98144445,0.97789055,0.98233332,0.98101319,2,2
1584690689.76085997,0.98134142,0.97785658,0.98227068,0.98094091,2,1
1584690994.9370749,0.981234,0.977867,0.982218,0.98088872,1,2
1584691291.67953753,0.98109607,0.97787493,0.98216081,0.98082759,2,1
1584691597.6361506,0.98091975,0.97794525,0.98211465,0.98078847,1,1
1584691900.53123355,0.98067251,0.97808349,0.98207456,0.98076108,1,2
1584692193.56723428,0.98049322,0.97815778,0.98202497,0.98071437,2,2
1584692490.12519598,0.98044016,0.97815484,0.98197081,0.98065851,2,2
1584692788.99533367,0.98041638,0.97814262,0.98191594,0.98060132,2,2
1584693080.68345451,0.98043844,0.97806056,0.98184751,0.98051734,2,1
1584693381.38681555,0.98043299,0.97797401,0.98178122,0.98043823,1,2
1584693680.69886446,0.98042821,0.97798479,0.98171506,0.98035987,2,2
1584693977.78478456,0.98043485,0.97797215,0.98164525,0.98027478,2,2
1584694276.84585714,0.98046391,0.97791409,0.98157525,0.98018988,2,1
1584694599.46990514,0.98047355,0.97799345,0.98153237,0.9801593,1,1
1584694907.7201488,0.98051239,0.97797561,0.98150579,0.9801605,1,1
1584695212.73323607,0.98066288,0.97789012,0.98149162,0.98018519,1,2
1584695512.73323607,0.98087785,0.97780815,0.98147772,0.98020891,2,2
1584695804.76342034,0.98098423,0.97787477,0.98145519,0.98021405,2,1
1584696107.9026165,0.98111077,0.97783623,0.98143905,0.98023075,1,2
1584696393.6128788,0.98112116,0.97784184,0.98140422,0.98020915,2,2
1584696679.88387322,0.98115979,0.97770821,0.98134117,0.98013115,2,2
1584696972.2372396,0.98133458,0.97726742,0.98125421,0.9800064,2,2
1584697269.53770065,0.98155058,0.97675742,0.98115789,0.97986458,2,2
1584697567.30020785,0.98171883,0.97619517,0.98105358,0.97970871,2,1
1584697867.60142374,0.98175684,0.97573916,0.98095172,0.97955974,1,2
1584698163.9818635,0.98189942,0.97514858,0.98083565,0.97938446,2,1
1584698474.88800144,0.98190085,0.97480215,0.98073673,0.97924546,1,1
1584698793.8541944,0.98181416,0.97473784,0.98067639,0.97918446,1,1
1584699094.59620523,0.9817855,0.9746985,0.98061904,0.97912939,1,1
1584699395.3165772,0.98175516,0.97466484,0.98056441,0.97907961,1,2
1584699686.95003247,0.98172128,0.97454572,0.98049204,0.97899452,2,1
1584699988.55573559,0.98169491,0.97445909,0.98042408,0.97891866,1,1
1584700296.22091842,0.98168208,0.97444292,0.98037251,0.97887557,1,2
1584700594.56523681,0.98154432,0.97440568,0.9803188,0.9788279,2,2
1584700886.831141,0.98125769,0.97435831,0.98025011,0.97875034,2,1
1584701187.55064821,0.98079718,0.97443082,0.98018397,0.97867817,1,1
1584701492.53044105,0.98027107,0.97460993,0.98012726,0.97862491,1,2
1584701784.49304676,0.97977043,0.97472657,0.98005543,0.97854158,2,1
1584702097.15842485,0.97910391,0.97509809,0.98000859,0.97850818,1,1
1584702397.34617186,0.97865076,0.97535424,0.97996307,0.97847688,1,2
1584702694.28514075,0.97852954,0.97539746,0.97991311,0.97843622,2,1
1584702997.08907151,0.97859817,0.97540283,0.97986909,0.97840696,1,1
1584703305.25161171,0.97880829,0.97540571,0.97984238,0.97841139,1,1
1584703607.08015347,0.97899381,0.97550419,0.97982035,0.97842388,1,1
1584703912.01290393,0.97927592,0.97556508,0.97981084,0.97845981,1,1
1584704213.58665276,0.97939403,0.97589297,0.97980567,0.97850256,1,1
1584704517.91759229,0.9797346,0.9759864,0.97981308,0.97856834,1,1
1584704826.16963506,0.98067365,0.97547835,0.97985639,0.97870292,1,1
1584705129.67218876,0.98178244,0.97491656,0.97992359,0.97888124,1,2
1584705412.86967707,0.98229902,0.97480098,0.97996213,0.97899844,2,1
1584705717.63334298,0.98299054,0.97471846,0.98002229,0.97915537,1,1
1584706019.4300499,0.98368435,0.97466665,0.98009076,0.97932496,1,1
1584706319.4300499,0.98429044,0.97462656,0.98015787,0.9794879,1,2
1584706611.86951637,0.98469287,0.97474413,0.98021138,0.97962014,2,1
1584706912.77806616,0.98501679,0.97503721,0.980267,0.97975347,1,2
1584707194.20998669,0.98503856,0.97544044,0.98028468,0.97980863,2,2
1584707486.86127806,0.98498896,0.97576904,0.98028122,0.97982045,2,1
1584707790.0746479,0.98483123,0.97632577,0.98028535,0.9798467,1,1
1584708091.81243348,0.98476948,0.97668752,0.98029337,0.97987977,1,1
1584708401.76512003,0.98476903,0.97711597,0.98032696,0.97996253,1,2
1584708699.3009057,0.98463882,0.97767418,0.98035455,0.98003145,2,2
1584708996.94806981,0.98444388,0.97824712,0.98037664,0.98008786,2,2
1584709295.85596728,0.98430222,0.97867278,0.98039611,0.98013775,2,1
1584709601.42431569,0.98416889,0.97913111,0.98042747,0.98020999,1,1
1584709905.54070354,0.9841139,0.9795011,0.98046832,0.98029941,1,1
1584710209.77436829,0.98410366,0.97986334,0.98051983,0.98040806,1,1
1584710513.88911533,0.98423753,0.98008247,0.98058301,0.98053755,1,1
1584710817.81765461,0.98457751,0.97998449,0.98065899,0.9806898,1,2
1584711109.07347393,0.98465793,0.97995607,0.98072059,0.98081059,2,1
1584711409.2161026,0.98483028,0.97997572,0.98078137,0.98092743,1,2
1584711701.43246055,0.98485166,0.97997434,0.98082926,0.98101655,2,2
1584711987.78206277,0.98473052,0.97993048,0.98084908,0.98104845,2,1
1584712290.69509339,0.98460439,0.97991961,0.98087405,0.98109008,1,1
1584712602.85802197,0.98468973,0.97990127,0.98092664,0.98118576,1,2
1584712902.01895809,0.98474436,0.97988964,0.98097661,0.98127456,2,2
1584713194.43576956,0.98476676,0.98002124,0.98101074,0.98133046,2,2
1584713482.39260244,0.98465974,0.98022726,0.9810125,0.98132142,2,1
1584713783.70853543,0.98458705,0.98037395,0.98101681,0.98131783,1,1
1584714090.87684584,0.98450217,0.98058583,0.98103549,0.98134302,1,1
1584714391.7386601,0.98450194,0.98059206,0.98105558,0.98137074,1,1
1584714691.7386601,0.98449568,0.98063132,0.98107527,0.98139738,1,2
1584714987.74660349,0.98448581,0.98065919,0.98108665,0.98140729,2,2
1584715279.62037206,0.98455801,0.98051899,0.9810786,0.98137876,2,2
1584715576.53615761,0.98469702,0.98020598,0.98106199,0.98133411,2,1
1584715880.4739759,0.98475079,0.97995521,0.98105126,0.98130218,1,1
1584716196.67722631,0.98467811,0.97991889,0.98106965,0.98132876,1,1
1584716507.61761451,0.98464587,0.97993113,0.98111797,0.9814143,1,1
1584716808.22574162,0.98448211,0.98001389,0.98116732,0.98150041,1,1
1584717114.07750511,0.98467405,0.97990995,0.98123628,0.98162392,1,1
1584717415.2476418,0.98490638,0.97978662,0.98130844,0.98175161,1,1
1584717715.89279437,0.98522633,0.97964667,0.98138154,0.981879,1,1
1584718017.76889348,0.98565707,0.97956693,0.98145992,0.98201472,1,2
1584718313.4726994,0.98597408,0.97954492,0.98153121,0.98213415,2,2
1584718603.6949141,0.98607518,0.97952682,0.98158723,0.98222143,2,2
1584718893.59802294,0.98607608,0.97952692,0.98162431,0.98227001,2,1
1584719204.59524345,0.98629082,0.97952018,0.9816868,0.98236844,1,2
1584719501.09175062,0.98641565,0.97973035,0.98174152,0.98245007,2,1
1584719802.40357971,0.98653627,0.97994773,0.98179832,0.98253477,1,1
1584720107.70854211,0.98676282,0.98005418,0.98186746,0.98264282,1,2
1584720388.14739418,0.98676382,0.98016718,0.98189365,0.98266428,2,2
1584720685.29458785,0.98675262,0.98025038,0.981911,0.98266842,2,1
1584720992.43488741,0.98673569,0.98045931,0.98194385,0.98270378,1,2
1584721279.32403636,0.9866512,0.9806158,0.98193309,0.98265265,2,1
1584721585.33403587,0.98641495,0.98104105,0.98193698,0.98263215,1,1
1584721886.80827165,0.98616943,0.98146557,0.98194437,0.98261952,1,2
1584722182.24337888,0.98622144,0.98137056,0.98193656,0.98257758,2,1
1584722489.77554202,0.98623758,0.98124642,0.98194633,0.98257179,1,1
1584722790.19500971,0.98624092,0.98113008,0.9819569,0.98256819,1,2
1584723088.19499874,0.98615526,0.98097274,0.98196211,0.98255454,2,2
1584723381.63773179,0.98608146,0.98068754,0.9819488,0.98250495,2,1
1584723693.43568778,0.98587547,0.98065253,0.9819615,0.98250828,1,2
1584723983.22501636,0.98565365,0.98044035,0.98194246,0.98244913,2,2
1584724282.60443473,0.98543481,0.98024219,0.98192162,0.98238799,2,1
1584724587.02919078,0.98526188,0.98011612,0.98191069,0.98234807,1,1
1584724892.42992783,0.98518005,0.98005095,0.98191227,0.98233403,1,1
1584725196.81299067,0.98486748,0.98013852,0.9819245,0.98234171,1,2
1584725496.71964145,0.98459634,0.98021666,0.98193629,0.98234871,2,2
1584725791.952039,0.98422305,0.98033095,0.98193795,0.98233581,2,1
1584726093.69221902,0.983492,0.980752,0.98194294,0.9823301,1,1
1584726395.82405734,0.98336915,0.98079485,0.98195179,0.98233245,1,1
1584726705.68709111,0.98351073,0.98072327,0.98198185,0.98237706,1,1
1584727016.8583591,0.984117,0.9803,0.98204954,0.9824956,1,1
1584727321.92373729,0.98518717,0.97976483,0.98214262,0.98266244,1,2
1584727608.31945086,0.98562539,0.97965261,0.98220692,0.9827694,2,1
1584727913.05637717,0.98625631,0.97943569,0.98229095,0.98291374,1,2
1584728206.37680745,0.98662239,0.97948361,0.98235825,0.98302261,2,1
1584728506.75014877,0.98696351,0.97947549,0.98242561,0.98312996,1,2
1584728802.72313833,0.98719839,0.97952561,0.98248313,0.98321624,2,1
1584729106.50081778,0.98750203,0.97959297,0.98255138,0.98332266,1,1
1584729408.04336619,0.98776264,0.97982136,0.98262324,0.98343471,1,1
1584729709.75492311,0.98807657,0.97989343,0.98269901,0.98355296,1,1
1584730012.330235,0.98831144,0.98024456,0.98278141,0.98368265,1,1
1584730314.911268,0.98851945,0.98067655,0.98287069,0.98382411,1,1
1584730618.01410222,0.98879356,0.98105044,0.98296929,0.98398199,1,2
1584730917.22949123,0.98903201,0.98139299,0.98306495,0.98413172,2,1
1584731218.90543723,0.98929605,0.98168395,0.98316425,0.98428655,1,2
1584731514.80892992,0.98943776,0.98207524,0.98325704,0.98442629,2,2
1584731796.02231574,0.98924688,0.98271412,0.98332126,0.98450762,2,2
1584732090.5657239,0.98893587,0.98340313,0.98337371,0.98456496,2,2
1584732387.74149394,0.98851013,0.98415787,0.98341938,0.98460869,2,2
1584732687.23289824,0.98821612,0.98466788,0.98346315,0.98464874,2,1
1584732997.36024809,0.98820356,0.98478644,0.9835225,0.98471977,1,1
1584733305.23433232,0.98826398,0.98478102,0.9835973,0.98482096,1,1
1584733606.58780742,0.98833163,0.98492037,0.98367379,0.98492445,1,2
1584733894.15266228,0.98833163,0.98492037,0.98372876,0.98498428,2,1
1584734203.03674865,0.98839614,0.98502986,0.98380205,0.98508019,1,1
1584734503.93835855,0.98846225,0.98514175,0.98387607,0.98517665,1,1
1584734808.28031492,0.9885439,0.9853351,0.98395932,0.98529051,1,1
1584735112.47946239,0.98877771,0.98537529,0.9840526,0.98542304,1,1
1584735413.10278916,0.98900374,0.98540726,0.98414581,0.9855539,1,2
1584735712.76283836,0.98920096,0.98543904,0.98423679,0.98567884,2,2
1584736005.14835835,0.9893055,0.9854775,0.98431705,0.98578124,2,1
1584736310.28226066,0.98948319,0.98545481,0.98440661,0.98590119,1,1
1584736615.83877516,0.98976434,0.98534566,0.98450886,0.98604507,1,2
1584736908.47078347,0.98993219,0.98530981,0.98460017,0.98616565,2,1
1584737207.3340323,0.99005664,0.98528236,0.98468828,0.98627876,1,2
1584737500.17122388,0.99012764,0.98528636,0.98476574,0.98636979,2,2
1584737798.47691965,0.99018371,0.98542929,0.98483949,0.98645294,2,1
1584738105.18271852,0.99023887,0.98568213,0.98492287,0.98655478,1,1
1584738410.01071215,0.99027321,0.98603279,0.9850141,0.98667146,1,2
1584738707.77962732,0.99018464,0.98649936,0.98510115,0.98677885,2,1
1584739008.34452415,0.99017928,0.98680472,0.98518746,0.986884,1,2
1584739307.8960855,0.99024116,0.98695684,0.98527167,0.98698423,2,1
1584739610.64227009,0.9903241,0.9870929,0.98535837,0.98708877,1,1
1584739912.68398523,0.9901879,0.9875651,0.98544652,0.98719549,1,1
1584740213.0831461,0.99019236,0.98780164,0.98553352,0.98729919,1,2
1584740497.0947566,0.99007322,0.98808778,0.98560632,0.98737413,2,2
1584740783.6558094,0.99003392,0.98815808,0.98566144,0.98741396,2,2
1584741074.86651945,0.99017987,0.98790213,0.98569924,0.98742008,2,2
1584741373.09696722,0.99032071,0.98762229,0.98573232,0.98741812,2,1
1584741676.1597333,0.99040054,0.98741946,0.98576752,0.98742172,1,1
1584741980.56367445,0.99043968,0.98732232,0.98580599,0.98743303,1,2
1584742279.02876568,0.99047586,0.98716114,0.98584131,0.98743918,2,2
1584742572.70292568,0.9904829,0.9869001,0.98586485,0.98742314,2,1
1584742883.83491039,0.99045983,0.98676517,0.98589802,0.98742772,1,1
1584743187.71219397,0.99042035,0.98667365,0.9859345,0.98743997,1,1
1584743497.90491199,0.99040961,0.98665939,0.98598233,0.98747565,1,2
1584743776.38336682,0.99052941,0.98632659,0.98598981,0.9874319,2,2
1584744073.64044666,0.99061192,0.98593408,0.98598902,0.98737379,2,2
1584744370.83399439,0.9906269,0.9855161,0.98597934,0.98730031,2,2
1584744668.30281901,0.99064619,0.98506181,0.98596113,0.98721245,2,1
1584921974.19519114,0.9905344,0.9847686,0.98595022,0.98714177,1,1
1584922285.59372592,0.99031617,0.98466183,0.98595497,0.98710444,1,1
1584922599.1225431,0.99002792,0.98473208,0.98598497,0.98711878,1,1
1584922899.66410685,0.98967079,0.98486121,0.98601556,0.9871349,1,1
1584923204.96369982,0.98932012,0.98504088,0.98605743,0.98717393,1,1
1584923507.49968457,0.98915832,0.98512568,0.98610461,0.98722358,1,2
1584923806.61397505,0.98915659,0.98512641,0.98614967,0.98726893,2,1
1584924107.84326291,0.98928363,0.98509337,0.98619641,0.9873176,1,2
1584924698.0404129,0.9893714,0.9850996,0.98626359,0.9873631,0,1
1584925003.25676537,0.9894422,0.9850878,0.98630391,0.98739984,1,2
1584925295.57394814,0.98946186,0.98509014,0.98633374,0.98741593,2,2
1584925592.2692101,0.98949013,0.98511687,0.98635842,0.98742236,2,2
1584925883.0822444,0.98946116,0.98507484,0.98636775,0.98739913,2,1
1584926194.75195861,0.98945399,0.98507401,0.98639334,0.98740936,1,1
1584926501.58077145,0.98944375,0.98507725,0.9864307,0.98744351,1,2
1584926798.69107127,0.98951538,0.98517662,0.98646316,0.98746807,2,2
1584927085.43481421,0.98947846,0.98530654,0.98647142,0.98744501,2,1
1584927386.0982089,0.9893764,0.9855516,0.9864805,0.98742482,1,2
1584927683.86305094,0.98915519,0.98593781,0.98648504,0.98739678,2,2
1584927977.80539703,0.9890341,0.9861229,0.98647643,0.98734397,2,2
1584928270.36231852,0.98927466,0.98575934,0.9864464,0.98725048,2,2
1584928568.11547756,0.98955372,0.98518828,0.98640885,0.98714458,2,1
