rsi,bu,bl,bu2,bl2,MA1,MA2,open1,close1,Low1,High1,resultado
47.9741742,0.00123496,0.00016529,0.00146525,0,0.00068072,0.00064729,0.00055662,0.00055662,1.11205,1.11243,0
51.88789171,0.00115959,0.00017831,0.00145624,0,0.00067246,0.00064123,0.00071745,0.00071745,1.11206,1.11241,0
52.11608136,0.00110494,0.0001992,0.00145114,0,0.00067467,0.00064573,0.00072857,0.00072857,1.11196,1.1123,0
54.66331444,0.00104974,0.00021711,0.00142952,0,0.00067177,0.00064715,0.00083243,0.00083243,1.11195,1.11237,1
51.44801887,0.00101006,0.00023314,0.00142853,0,0.00067375,0.00065088,0.0007136,0.0007136,1.11206,1.11237,0
55.01033454,0.00099947,0.00023345,0.00141758,0,0.00067437,0.00065608,0.00086046,0.00086046,1.11223,1.11263,0
57.26165132,0.00101792,0.00021746,0.00143405,0,0.00067527,0.00066325,0.00095569,0.00095569,1.11236,1.11256,1
56.05336404,0.00103881,0.00019872,0.00142952,0,0.0006641,0.00065722,0.00089976,0.00089976,1.11226,1.11249,0
61.3263587,0.00113769,0.00018569,0.00150105,0,0.00069594,0.00069857,0.00116219,0.00116219,1.11243,1.11279,0
65.58770309,0.00132505,0.00017932,0.00164803,0,0.00076623,0.00078227,0.00144868,0.00144868,1.11258,1.11293,0
67.27602209,0.00152608,0.00020137,0.00180379,0,0.00084427,0.00087487,0.00161123,0.00161123,1.11288,1.11311,0
72.38306048,0.00185287,0.0002796,0.0021018,0,0.00099239,0.00104347,0.00208723,0.00208723,1.11303,1.11345,0
74.80296945,0.00221573,0.00040446,0.00247453,0,0.00117239,0.00124661,0.0024416,0.0024416,1.11332,1.11377,1
71.43262137,0.00246472,0.00051758,0.00273597,0,0.0012976,0.00139161,0.00244365,0.00244365,1.11346,1.11367,1
69.41181251,0.00265588,0.00061144,0.00294566,0,0.00139362,0.00150502,0.00245816,0.00245816,1.11336,1.11363,1
65.11369974,0.00277354,0.00069687,0.0030864,0,0.00145416,0.00157934,0.0023702,0.0023702,1.11321,1.11347,0
66.97704921,0.00288675,0.00081918,0.00324493,0,0.00151974,0.00165993,0.00252546,0.00252546,1.11321,1.11344,0
68.46133397,0.00298265,0.00092034,0.00338632,0,0.00156647,0.00172244,0.00264049,0.00264049,1.11323,1.11347,0
73.8132442,0.00322532,0.00098228,0.00366127,0,0.00168007,0.00185815,0.0031053,0.0031053,1.11343,1.11388,1
67.33663093,0.00333932,0.00107303,0.00381668,0,0.0017347,0.00192958,0.00293567,0.00293567,1.11363,1.11393,0
67.94247155,0.00339434,0.00117824,0.00392458,0,0.00175789,0.00196922,0.00297429,0.00297429,1.11351,1.11373,0
75.33318583,0.00361395,0.00124925,0.0041732,0,0.00183617,0.00207448,0.0036166,0.0036166,1.11358,1.11437,1
71.76940958,0.00370508,0.00130684,0.00428892,0,0.00184691,0.0021081,0.00347446,0.00347446,1.11409,1.11465,1
67.20436525,0.00372012,0.00135702,0.00433014,0,0.00182558,0.00210502,0.00326407,0.00326407,1.1139,1.11422,1
62.64498751,0.00365857,0.00145906,0.00432964,0,0.00179045,0.00208356,0.00303382,0.00303382,1.11367,1.11402,0
66.00532279,0.00363867,0.00155419,0.00436853,0,0.00177274,0.00208296,0.00321693,0.00321693,1.11378,1.11407,1
58.82048199,0.00349529,0.00159453,0.00425883,0,0.00167907,0.00199954,0.00281041,0.00281041,1.11375,1.11408,1
56.53517972,0.00329575,0.00166798,0.00412073,0,0.00157445,0.00190237,0.00258537,0.00258537,1.11368,1.11396,0
56.29961773,0.00317964,0.00177448,0.00409012,0,0.00153996,0.00187445,0.00252106,0.00252106,1.11362,1.11378,0
57.44531465,0.00303273,0.00178931,0.00397738,0,0.00145354,0.00179512,0.00247402,0.00247402,1.11368,1.11386,0
60.25097853,0.00285755,0.001759,0.00380622,0,0.00133047,0.00168138,0.00247778,0.00247778,1.11368,1.1139,1
