open,high,low,close,from,to,volume,ask,bid,ema_30_60,ema_100_60,ema_30_300,ema_100_300,rsi_60,rsi_300,rsi_900,mood_forex,color,signal
109.333,109.344,109.328,109.338,1586541600,1586541900,730,109.352,109.324,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,733,109.348,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,733,109.348,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,733,109.348,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.345,1586541600,1586541900,737,109.348,109.321,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,109.339,1586541600,1586541900,744,109.356,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,746,109.348,109.323,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.339,1586541600,1586541900,749,109.357,109.321,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,753,109.355,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,755,109.352,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.335,1586541600,1586541900,760,109.349,109.321,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.335,1586541600,1586541900,760,109.349,109.321,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,763,109.355,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,766,109.349,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.342,1586541600,1586541900,768,109.357,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,770,109.355,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,775,109.346,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.339,1586541600,1586541900,778,109.354,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.425,1586541600,1586541900,784,109.356,109.329,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,788,109.355,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.425,1586541600,1586541900,790,109.362,109.323,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.342,1586541600,1586541900,793,109.359,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,797,109.357,109.322,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,1
109.333,109.344,109.328,1.093.415,1586541600,1586541900,803,109.358,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.341,1586541600,1586541900,807,109.358,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.336,1586541600,1586541900,809,109.348,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,811,109.349,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,815,109.356,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.338,1586541600,1586541900,819,10.935,109.326,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,823,109.349,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.342,1586541600,1586541900,828,109.359,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,834,109.353,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.415,1586541600,1586541900,838,109.355,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,844,109.357,109.323,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,848,10.935,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
