open,high,low,close,at,from,to,volume,color
1.08553,1.0858,1.085495,1.08578,,1586415000,,811,1.0
1.08578,1.086075,1.08564,1.086025,,1586415300,,958,1.0
1.086005,1.086695,1.085805,1.0863,,1586415600,,916,1.0
1.08629,1.08641,1.085905,1.086365,,1586415900,,892,1.0
1.08637,1.08696,1.08637,1.086955,,1586416200,,887,1.0
1.086965,1.086965,1.08642,1.086645,,1586416500,,844,0.0
1.08664,1.087,1.08661,1.086765,,1586416800,,759,1.0
1.086745,1.087105,1.08668,1.086885,,1586417100,,812,1.0
1.086885,1.086895,1.0866,1.086655,,1586417400,,880,0.0
1.08665,1.087005,1.086385,1.08653,,1586417700,,817,0.0
1.086545,1.0874,1.086405,1.087365,,1586418000,,910,1.0
1.08737,1.087455,1.08704,1.087405,,1586418300,,837,1.0
1.0874,1.08823,1.087275,1.08791,,1586418600,,900,1.0
1.08792,1.08792,1.087235,1.087575,,1586418900,,903,0.0
1.08758,1.087875,1.087415,1.08769,,1586419200,,889,1.0
1.087695,1.08774,1.08716,1.087175,,1586419500,,855,0.0
1.087185,1.08732,1.086825,1.087185,,1586419800,,857,0.0
1.08717,1.08721,1.086775,1.086895,,1586420100,,801,0.0
1.086885,1.08729,1.086755,1.08725,,1586420400,,788,1.0
1.087235,1.087535,1.08709,1.08711,,1586420700,,815,0.0
1.087115,1.087515,1.086985,1.087335,,1586421000,,820,1.0
1.087355,1.08758,1.08717,1.087415,,1586421300,,776,1.0
1.087405,1.08749,1.08699,1.087115,,1586421600,,768,0.0
1.087115,1.087235,1.08696,1.08719,,1586421900,,728,1.0
1.087185,1.08738,1.08695,1.08705,,1586422200,,784,0.0
1.087055,1.087245,1.086815,1.086935,,1586422500,,839,0.0
1.08694,1.08723,1.086765,1.087025,,1586422800,,851,1.0
1.08702,1.08716,1.086745,1.086845,,1586423100,,813,0.0
1.086895,1.08692,1.086605,1.086885,,1586423400,,750,0.0
1.08688,1.087165,1.086795,1.08709,,1586423700,,759,1.0
1.087085,1.08763,1.087015,1.087225,,1586424000,,818,1.0
1.08727,1.087485,1.087075,1.087345,,1586424300,,807,1.0
1.087335,1.087445,1.087155,1.08733,,1586424600,,831,0.0
1.087345,1.087845,1.087295,1.087785,,1586424900,,720,1.0
1.08778,1.08809,1.087525,1.087885,,1586425200,,896,1.0
1.0879,1.08799,1.087505,1.087915,,1586425500,,881,1.0
1.08797,1.08846,1.08783,1.087985,,1586425800,,866,1.0
1.08799,1.08878,1.087955,1.08865,,1586426100,,840,1.0
1.088655,1.088665,1.088115,1.08823,,1586426400,,904,0.0
1.088225,1.088245,1.087715,1.08791,,1586426700,,846,0.0
1.087905,1.08826,1.087785,1.08824,,1586427000,,819,1.0
1.088225,1.088955,1.08808,1.088545,,1586427300,,804,1.0
1.08855,1.088635,1.088135,1.0882,,1586427600,,775,0.0
1.088195,1.088315,1.087855,1.08803,,1586427900,,826,0.0
1.088025,1.08805,1.08759,1.08788,,1586428200,,853,0.0
1.087925,1.088045,1.08717,1.087225,,1586428500,,807,0.0
1.08723,1.08724,1.086585,1.086625,,1586428800,,845,0.0
1.08662,1.08683,1.08654,1.08683,,1586429100,,827,1.0
1.086825,1.086955,1.08594,1.08595,,1586429400,,837,0.0
1.085935,1.08624,1.08552,1.08599,,1586429700,,951,1.0
1.085995,1.08647,1.085945,1.08613,,1586430000,,857,1.0
1.08614,1.08642,1.085845,1.086015,,1586430300,,870,0.0
1.08602,1.08631,1.08583,1.086205,,1586430600,,825,1.0
1.0862,1.086225,1.08574,1.0859,,1586430900,,789,0.0
1.085895,1.08626,1.08578,1.0858,,1586431200,,798,0.0
1.085805,1.085885,1.085315,1.08539,,1586431500,,792,0.0
1.085395,1.085865,1.085395,1.08578,,1586431800,,885,1.0
1.08577,1.08586,1.085085,1.0853,,1586432100,,934,0.0
1.085295,1.08531,1.08497,1.08502,,1586432400,,815,0.0
1.085025,1.08564,1.085015,1.085625,,1586432700,,863,1.0
1.08563,1.0861,1.085595,1.0859,,1586433000,,886,1.0
1.085905,1.086155,1.085775,1.08583,,1586433300,,852,0.0
1.08582,1.08615,1.085805,1.086135,,1586433600,,805,1.0
1.08613,1.086305,1.08601,1.08622,,1586433900,,778,1.0
1.086225,1.086755,1.086225,1.086715,,1586434200,,833,1.0
1.08671,1.087485,1.086655,1.08695,,1586434500,,907,1.0
1.08694,1.08748,1.086895,1.087175,,1586434800,,875,1.0
1.087165,1.087405,1.087025,1.087225,,1586435100,,711,1.0
1.087215,1.087925,1.086825,1.087925,,1586435400,,1146,1.0
1.08792,1.08812,1.08737,1.087605,,1586435700,,1080,0.0
1.0876,1.08793,1.087505,1.087845,,1586436000,,973,1.0
1.08785,1.088785,1.08777,1.08851,,1586436300,,1015,1.0
1.088515,1.089755,1.088455,1.089325,,1586436600,,1112,1.0
1.08932,1.091005,1.0893,1.090425,,1586436900,,1131,1.0
1.09043,1.09088,1.089525,1.089715,,1586437200,,1056,0.0
1.089735,1.090795,1.08972,1.09058,,1586437500,,1044,1.0
1.090565,1.092025,1.09054,1.091785,,1586437800,,1090,1.0
1.09178,1.091835,1.09122,1.09161,,1586438100,,979,0.0
1.0916,1.09375,1.09159,1.093435,,1586438400,,1055,1.0
1.093455,1.09422,1.09342,1.094075,,1586438700,,1077,1.0
1.09407,1.09407,1.09256,1.09287,,1586439000,,1136,0.0
1.092825,1.09358,1.09272,1.093225,,1586439300,,1059,1.0
1.093315,1.093895,1.0931,1.093895,,1586439600,,1019,1.0
1.0939,1.09392,1.09292,1.093185,,1586439900,,982,0.0
1.09318,1.093335,1.092765,1.093115,,1586440200,,964,0.0
1.09311,1.093185,1.09246,1.09312,,1586440500,,1020,1.0
1.09314,1.09341,1.0922,1.09224,,1586440800,,1021,0.0
1.092245,1.092245,1.091505,1.091785,,1586441100,,1035,0.0
1.091805,1.093205,1.09178,1.092975,,1586441400,,957,1.0
1.09298,1.09314,1.0925,1.0925,,1586441700,,934,0.0
1.092495,1.092785,1.09199,1.092025,,1586442000,,977,0.0
1.092015,1.093035,1.092015,1.09272,,1586442300,,1024,1.0
1.092725,1.093005,1.09248,1.092505,,1586442600,,941,0.0
1.0925,1.092575,1.091665,1.091915,,1586442900,,991,0.0
1.09192,1.092425,1.09175,1.09223,,1586443200,,957,1.0
1.092235,1.092925,1.091855,1.092925,,1586443500,,931,1.0
1.09292,1.09298,1.09181,1.09212,,1586443800,,1049,0.0
1.092115,1.094465,1.092015,1.0937,,1586444100,,1045,1.0
1.093705,1.093715,1.092775,1.09288,,1586444400,,1037,0.0
1.09288,1.09338,1.092565,1.09307,,1586444700,,984,1.0
1.093065,1.09422,1.09306,1.09421,,1586445000,,960,1.0
1.094205,1.0945,1.093855,1.093875,,1586445300,,961,0.0
1.093955,1.094395,1.09338,1.093445,,1586445600,,1021,0.0
1.093435,1.09376,1.093295,1.093385,,1586445900,,940,0.0
1.09338,1.09338,1.09269,1.09297,,1586446200,,909,0.0
1.09299,1.09321,1.092585,1.09275,,1586446500,,940,0.0
1.09274,1.093415,1.09274,1.093205,,1586446800,,878,1.0
1.09322,1.09391,1.09322,1.093895,,1586447100,,857,1.0
1.09388,1.09392,1.093535,1.09364,,1586447400,,875,0.0
1.093635,1.093655,1.09292,1.093035,,1586447700,,900,0.0
1.093055,1.09332,1.092635,1.0933,,1586448000,,933,1.0
1.093295,1.09366,1.09277,1.093035,,1586448300,,892,0.0
1.09304,1.09304,1.09228,1.09261,,1586448600,,941,0.0
1.092595,1.093045,1.09241,1.093035,,1586448900,,780,1.0
1.09304,1.093365,1.09277,1.092875,,1586449200,,846,0.0
1.09289,1.09306,1.09268,1.09271,,1586449500,,901,0.0
1.09273,1.092955,1.092485,1.092855,,1586449800,,868,1.0
1.09285,1.09287,1.092535,1.092775,,1586450100,,863,0.0
1.09277,1.092775,1.092545,1.09274,,1586450400,,769,0.0
1.092745,1.09303,1.092595,1.09284,,1586450700,,791,1.0
1.092905,1.093255,1.092675,1.093125,,1586451000,,861,1.0
1.09313,1.09391,1.093105,1.093585,,1586451300,,978,1.0
1.09359,1.093805,1.093405,1.093425,,1586451600,,853,0.0
1.09341,1.09343,1.09308,1.0932,,1586451900,,867,0.0
1.093205,1.09387,1.093135,1.093855,,1586452200,,860,1.0
1.093865,1.09403,1.09369,1.09392,,1586452500,,876,1.0
1.093915,1.09401,1.093685,1.093705,,1586452800,,877,0.0
1.0937,1.09444,1.09367,1.0942,,1586453100,,857,1.0
1.09419,1.095065,1.094155,1.09442,,1586453400,,986,1.0
1.09443,1.09518,1.094385,1.09494,,1586453700,,936,1.0
1.094925,1.095025,1.094555,1.0947,,1586454000,,834,0.0
1.09469,1.09471,1.09398,1.09409,,1586454300,,864,0.0
1.09407,1.09415,1.09381,1.09411,,1586454600,,870,1.0
1.0941,1.094565,1.093865,1.094485,,1586454900,,891,1.0
1.09448,1.09451,1.0934,1.09341,,1586455200,,895,0.0
1.09342,1.093545,1.09267,1.092805,,1586455500,,936,0.0
1.09281,1.093805,1.092805,1.0937,,1586455800,,863,1.0
1.093695,1.09391,1.09337,1.093805,,1586456100,,953,1.0
1.093795,1.093995,1.093455,1.093985,,1586456400,,929,1.0
1.09397,1.094655,1.09385,1.094205,,1586456700,,915,1.0
1.09419,1.094435,1.09365,1.09378,,1586457000,,873,0.0
1.093785,1.09397,1.093355,1.09346,,1586457300,,847,0.0
1.09347,1.09347,1.092945,1.093105,,1586457600,,821,0.0
1.093115,1.09321,1.09277,1.092815,,1586457900,,822,0.0
1.0928,1.09305,1.092475,1.092485,,1586458200,,858,0.0
1.09247,1.09272,1.092015,1.092235,,1586458500,,912,0.0
1.092225,1.09255,1.09219,1.092295,,1586458800,,924,1.0
1.0923,1.092395,1.092075,1.092325,,1586459100,,808,1.0
1.092315,1.092475,1.09218,1.09244,,1586459400,,840,1.0
1.09245,1.092905,1.09244,1.0928,,1586459700,,866,1.0
1.09281,1.09281,1.092125,1.09239,,1586460000,,861,0.0
1.092395,1.092665,1.09224,1.092665,,1586460300,,807,1.0
1.09266,1.092835,1.09246,1.092705,,1586460600,,845,1.0
1.092715,1.092725,1.092255,1.092375,,1586460900,,736,0.0
1.092365,1.092945,1.09234,1.092715,,1586461200,,878,1.0
1.09271,1.09294,1.092425,1.09258,,1586461500,,803,0.0
1.092585,1.09292,1.092575,1.092875,,1586461800,,819,1.0
1.092865,1.093695,1.092865,1.093635,,1586462100,,838,1.0
1.093645,1.09395,1.09337,1.093395,,1586462400,,748,0.0
1.09339,1.093645,1.093305,1.093645,,1586462700,,624,1.0
1.09364,1.093765,1.09333,1.093335,,1586463000,,726,0.0
1.093325,1.093395,1.09278,1.092945,,1586463300,,615,0.0
1.09295,1.09308,1.09288,1.09302,,1586463600,,606,1.0
1.093015,1.09328,1.093005,1.09321,,1586463900,,702,1.0
1.09322,1.09325,1.09245,1.092515,,1586464200,,722,0.0
1.09251,1.092795,1.09237,1.09261,,1586464500,,774,1.0
1.092625,1.092945,1.092625,1.092945,,1586464800,,646,1.0
1.09294,1.09337,1.092845,1.09324,,1586465100,,724,1.0
1.093225,1.093295,1.093135,1.09329,,1586465400,,616,1.0
1.0933,1.0933,1.092775,1.093,,1586465700,,757,0.0
1.09292,1.09371,1.092735,1.09296,,1586466000,,316,1.0
1.09294,1.093365,1.092915,1.093325,,1586466300,,364,1.0
1.09328,1.093325,1.093045,1.09318,,1586466600,,271,0.0
1.09318,1.093255,1.09307,1.093175,,1586466900,,290,0.0
1.09314,1.09321,1.09271,1.093065,,1586467200,,564,0.0
1.093095,1.09317,1.092415,1.092535,,1586467500,,380,0.0
1.09255,1.092955,1.09226,1.092375,,1586467800,,708,0.0
1.092405,1.092675,1.09235,1.092615,,1586468100,,458,1.0
1.092615,1.09272,1.092475,1.092555,,1586468400,,483,0.0
1.09254,1.093185,1.09247,1.092725,,1586468700,,557,1.0
1.0927,1.092875,1.092615,1.09278,,1586469000,,487,1.0
1.09278,1.09296,1.09269,1.0928,,1586469300,,587,1.0
1.092795,1.093045,1.09258,1.09264,,1586469600,,599,0.0
